,Year,Agency Name,Vendor Name,Vendor Zip,Amount
39532,2010,MARYLAND STATE DEPARTMENT OF EDUCATION,ANGELA CROMWELL,21040,6789067
39533,2010,DEPT OF BUSINESS & ECONOMIC DEVELOPMENT,"KATE CLIFFORD LARSON, PHD",01890,51150
39534,2010,DEPARTMENT OF INFORMATION TECHNOLOGY,STEPHANIE LABBE-WALLACE,03811,50000
39535,2010,DEPARTMENT OF GENERAL SERVICES- CAPITAL,CIANBRO CORPORATION,02125,6658388
39536,2010,DEPARTMENT OF THE ENVIRONMENT,EKTO MANUFAC CORP,04073,109441
39537,2010,MD DEPARTMENT OF AGRICULTURE,IDEXX DISTRIBUTION CORP,30392,3993153
39539,2010,MARYLAND HIGHER EDUCATION COMMISSION,GOLD BRIDGE PARTNERS INC,04330,622659
39540,2010,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,MARKET DECISIONS LLC,04101,1829252
39541,2010,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,"SPECTRUM ENTERPRISES, INC",04107,496600
39543,2010,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,NEW PRINCESS ANNE TOWN HOUSES LP,21853,15370831
39546,2010,HISTORIC ST. MARY'S CITY COMMISSION,MEDIA TWO INC,21211,43791153
39550,2010,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,NORTH PARK GARDENS,21803,14212262
39551,2010,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,CIRCLE OF FRIENDS LLC,20860,6677462
39552,2010,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,MICHAEL RANDOLPH MD,21218,70758802
39555,2010,STATE HIGHWAY ADMIN,LOPEZ TRUCKING,20782,36907783
39556,2010,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,RHEUMATOLOGY ASSOCS OF BALT LLC,21286,266332868
39559,2010,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,MARSHYHOPE FAMILY SERVICES LLC,21613,65671811
39562,2010,UNINSURED EMPLOYERS FUND,MEDICAL CENTERS ORTHOTICS & PROSTHETICS,20910,62676600
39565,2010,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,WOODSIDE GARDENS APARTMENTS,90058,3447845
39566,2010,DEPARTMENT OF HUMAN RESOURCES,MRO CORPORATION,19406,859869
39568,2010,MARYLAND STATE DEPARTMENT OF EDUCATION,ONE STEP UP 2 INC.,21742,25911701
39569,2010,MARYLAND PUBLIC TELEVISION,BRAVO TENORE INC,10710,57000
39570,2010,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,HQM OF BAYSIDE LLC,20653,5896217
39571,2010,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,FMC OF ANNE ARUNDEL,21264,285998838
39572,2010,MARYLAND DEPT. OF VETERANS AFFAIRS,H M R OF MARYLAND LLC,29640,17353051
39574,2010,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,NORTHWEST HEALTH & REHAB CENTER,10286,39508
39575,2010,MARYLAND STATE DEPARTMENT OF EDUCATION,NORTHWEST HEALTH & REHAB CENTER,21152,15727335
39576,2010,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,TAKOMA TOWERS  DBA VICTORY TOWERS,21401,491799639
39577,2010,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,COMMUNITY CARE NURSING SERVICES INC,21234,32070360
39579,2010,STATE HIGHWAY ADMIN,COLLISON CONTRACTING INC,21221,25995892
39581,2010,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,MEDPRO HOSPITALISTS LLP,20718,1338293
39582,2010,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,TRACY WERTHEIMER DPM LLC,21061,24908241
39583,2010,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,NATIONAL MENTOR HLTHCARE,21228,77317556
39586,2010,IAC PUBLIC SCHOOL CONSTRUCTION -CAPITAL,AUTUMN CONTRACTING INC,20781,12832883
39587,2010,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,PENINSULA ENDOSCOPY CENTER,19713,917573
39588,2010,STATE HIGHWAY ADMIN,LICKING CREEK PAVING & HAULING LLC,21711,54895
39589,2010,STATE HIGHWAY ADMIN,PATRICK & TRACY TRUCKING,21754,2076531
39590,2010,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,CHARING CROSS DIALYSIS,31193,4367018
39591,2010,STATE HIGHWAY ADMIN,E T RUCKING INC,17349,32887
39592,2010,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,HELENA'S HOUSE INC,20774,119623142
39593,2010,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,RELIABLE MEDICAL,21208,73120558
39596,2010,DEPARTMENT OF HUMAN RESOURCES,"AMR NEUROPSYCHOLOGICAL SERVICES, LLC",21784,25054088
39598,2010,MD DEPARTMENT OF AGRICULTURE,CREEKBOUND FARMS LLC,21740,115001401
39599,2010,MARYLAND STATE DEPARTMENT OF EDUCATION,KID BIZ LLC,20785,216947101
39600,2010,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,HOPE & JOY HEALTH AND ALLIED,20707,86334144
39603,2010,MARYLAND STATE DEPARTMENT OF EDUCATION,DECK PAIN MANAGEMENT LLC,21045,50795967
39604,2010,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,ANGEL LOVING CARE RESIDENTIAL AGENCY,20712,1343938
39605,2010,STATE HIGHWAY ADMIN,JC'S TRUCKING SERVICES LLC,22079,154053797
39606,2010,DEPARTMENT OF HUMAN RESOURCES,"DEVINE INTERVENTIONS, INC.",21239,16528267
39607,2010,STATE HIGHWAY ADMIN,MCCORMICK TAYLOR/PB AMERICAS,21202,2232405715
39608,2010,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,UNIVERSITY SPECIALISTS LLP,21275,23363425
39610,2010,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,UPPER CHES CRITICAL CARE ASSOCS LLC,15024,37668
39611,2010,MARYLAND STATE DEPARTMENT OF EDUCATION,DIVINITY CHILD DEVELOPMENT CENTER,20721,8804287
39612,2010,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,BLACKBURN HOUSING II LTD PTN,21157,230011723
39613,2010,BOARDS COMMISSIONS & OFFICES,WORCESTER COUNTY'S INITIATIVE TO PRESERVE FAMILIES,21863,32985126
39615,2010,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,PHARMACARE AT REISTERSTOWN LLC,21136,6416271
