,Year,Agency Name,Vendor Name,Vendor Zip,Amount
19380,2009,MD DEPARTMENT OF AGRICULTURE,IDEXX DISTRIBUTION CORP,30392,8306890
19382,2009,MARYLAND HIGHER EDUCATION COMMISSION,GOLD BRIDGE PARTNERS INC,04330,645061
19383,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,MARKET DECISIONS LLC,04101,1746247
19384,2009,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,"SPECTRUM ENTERPRISES, INC",04107,343800
19386,2009,DEPARTMENT OF HUMAN RESOURCES,"PRESERVATION MANAGEMENT, INC.",21853,24771272
19387,2009,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,"PRESERVATION MANAGEMENT, INC.",04106,2574763
19388,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,CAPITAL ONCOLOGY HEMATOLOGY,21030,26398845
19389,2009,MARYLAND STATE DEPARTMENT OF EDUCATION,CAPITAL ONCOLOGY HEMATOLOGY,20902,17295618
19390,2009,MARYLAND PORT ADMINISTRATION,MEDIA TWO INC,21211,29383928
19391,2009,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,MEDIA TWO INC,19805,1279183
19393,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,MCKESSON SPECIALTY PHARMACEUTICALS,75373,165656
19394,2009,MARYLAND STATE DEPARTMENT OF EDUCATION,CHILDREN OF THE KING LLC EARLY LEARNING CENTER,20707,94218744
19395,2009,BALTIMORE CITY COMMUNITY COLLEGE,TURNING TECHNOLOGIES LLC,43271,576581
19396,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,NORTH PARK GARDENS,21803,17025294
19397,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,CIRCLE OF FRIENDS LLC,20860,16062980
19398,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,MICHAEL RANDOLPH MD,21218,89948135
19400,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,RHEUMATOLOGY ASSOCS OF BALT LLC,21286,211759498
19402,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,MARSHYHOPE FAMILY SERVICES LLC,21613,80561079
19405,2009,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,WOODSIDE GARDENS APARTMENTS,90058,3313408
19406,2009,OFFICE OF THE PUBLIC DEFENDER,MRO CORPORATION,19406,2765361
19408,2009,MARYLAND STATE DEPARTMENT OF EDUCATION,ONE STEP UP INC,21216,9764820
19409,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,HQM OF BAYSIDE LLC,20653,5283128
19410,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,FMC OF ANNE ARUNDEL,21264,293280638
19411,2009,MARYLAND DEPT. OF VETERANS AFFAIRS,H M R OF MARYLAND LLC,29640,19049121
19413,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,MARLEY NECK HEALTH & REHAB CENTER,10286,6186928
19416,2009,MARYLAND STATE DEPARTMENT OF EDUCATION,NORTHWEST HEALTH & REHAB CENTER,21215,183351171
19421,2009,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,TAKOMA TOWERS  DBA VICTORY TOWERS,21401,483206263
19422,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,COMMUNITY CARE NURSING SERVICES INC,21234,24672981
19424,2009,MARYLAND TRANSIT ADMINISTRATION,LAW OFFICE OF RONALD M CHERR Y PC,21204,777158946
19425,2009,MARYLAND AVIATION ADMINISTRATION,DIGITAL FACILITIES CORP,01886,40555
19426,2009,MD DEPARTMENT OF AGRICULTURE,LEAD MARYLAND FOUNDATION INC,21658,288365
19427,2009,MARYLAND STATE DEPARTMENT OF EDUCATION,CELEBREE LEARNING CENTER OF SPRING RIDGE,21015,23537779
19428,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,FAITH FOUNDATION HEALTH,21244,639445474
19429,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,TRACY WERTHEIMER DPM LLC,21061,14167999
19431,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,MENTOR MARYLAND,21229,39801941
19432,2009,DEPARTMENT OF HUMAN RESOURCES,MENTOR MARYLAND,21228,69502594
19434,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,WESTSIDE MEDICAL GROUP LLC,21022,123897
19436,2009,IAC PUBLIC SCHOOL CONSTRUCTION -CAPITAL,AUTUMN CONTRACTING INC,20781,21664049
19437,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,PENINSULA ENDOSCOPY CENTER,19713,299133
19438,2009,STATE HIGHWAY ADMIN,LICKING CREEK PAVING & HAULING LLC,21711,28247
19440,2009,STATE HIGHWAY ADMIN,PATRICK & TRACY TRUCKING,21754,2213863
19441,2009,MARYLAND STATE DEPARTMENT OF EDUCATION,GRANNIE ANNIES CHILDCARE & LEARNING CENTER,21122,85995088
19442,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,CHARING CROSS DIALYSIS,31193,9066563
19443,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,HELENA'S HOUSE INC,20774,110346463
19444,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,RELIABLE MEDICAL,21208,67217104
19447,2009,DEPARTMENT OF HUMAN RESOURCES,"AMR NEUROPSYCHOLOGICAL SERVICES, LLC",21784,22516544
19449,2009,MARYLAND STATE DEPARTMENT OF EDUCATION,KID BIZ LLC,20785,205482234
19452,2009,DEPARTMENT OF HUMAN RESOURCES,DECK PAIN MANAGEMENT LLC,21045,54270628
19453,2009,MARYLAND STATE DEPARTMENT OF EDUCATION,DECK PAIN MANAGEMENT LLC,21702,262948386
19454,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,ANGEL LOVING CARE RESIDENTIAL AGENCY,20712,1858079
19456,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,NEUROPEDIC,18202,64564
19457,2009,DEPARTMENT OF GENERAL SERVICES,ASM CLEANING SERVICES,21158,18657704
19460,2009,DEPARTMENT OF HUMAN RESOURCES,"DEVINE INTERVENTIONS, INC.",21239,14207252
19461,2009,STATE HIGHWAY ADMIN,MCCORMICK TAYLOR/PB AMERICAS,21202,2337340468
19462,2009,STATE TREASURER'S OFFICE,PAMELA ASHBY PA & JOAN M HOVATTER,20036,2171242
19463,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,"UNIVERSITY SPECIALISTS, LLP",21275,45637693
19464,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,HECROL INC,20910,62604046
19465,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,UPPER CHES CRITICAL CARE ASSOCS LLC,15024,28915
19466,2009,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,BLACKBURN HOUSING II LTD PTN,21136,6657190
19467,2009,MARYLAND STATE DEPARTMENT OF EDUCATION,WORCESTER COUNTY'S INITIATIVE TO PRESERVE FAMILIES,21863,28547275
19469,2009,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,LAURA WILLIAMS/SALISBURY NHS INC,21804,31929588
19470,2009,OFFICE OF THE PUBLIC DEFENDER,RAOUF ABDULLAH,20706,39037242
19471,2009,OFFICE OF THE PUBLIC DEFENDER,THOMAS A APPEL,21117,152462443
19472,2009,DEPARTMENT OF DISABILITIES,NATIONAL FEDERATION OF THE BLIND,21230,39457746
19474,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,RIDE-AWAY HANDICAP EQUIPMENT CORP,03053,405698
19476,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,WK OPPORTUNITIES UNLIMITED CONTRACTS INC,03820,280908
19478,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,LAKEVIEW PHARMACY,03882,177453
19480,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,DANIEL SULLIVAN,21740,102211932
19481,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,PROFESSIONAL SOFTWARE FOR NURSES INC,03063,32789
19482,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,KENDALL,31192,10995713
19483,2009,GOVERNOR'S OFFICE FOR CHILDREN,"NETSTAR-1, INC",20850,927378712
19503,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,MORNINGSIDE HOUSE OF LAUREL LLC,20177,221899
19504,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,WPI ACQUISITION LLC,21237,51548220
19508,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,AHS CUMBERLAND HOSPITAL LLC,75284,5830385
19509,2009,DEPARTMENT OF HUMAN RESOURCES,AHS CUMBERLAND HOSPITAL LLC,23124,203850
19515,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,WILLIAM T SU MD,21742,34827670
19520,2009,MARYLAND STATE DEPARTMENT OF EDUCATION,ABIDING LOVE CHILD CARE CENTER,20743,18282736
19521,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,JEFFREY MUENCH,20815,947896
19522,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,MEDPRO RX INC,27615,754149
19523,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,DENTON PHARMACY,21629,35275591
19524,2009,MARYLAND STATE DEPARTMENT OF EDUCATION,LORI YOUNG,21213,6752396
19525,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,ERNEST AFRICANO M D,20901,4423029
19526,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,PEMBERTON HOUSING LP,21801,52485410
19529,2009,DEPARTMENT OF HUMAN RESOURCES,RIGHT-AT-HOME,21701,84208194
19530,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,TERKA MANOR,21223,22115095
19531,2009,DEPARTMENT OF HUMAN RESOURCES,NOAHS ARK LEARNING CENTER,20639,20860125
19538,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,CARE FIRST HOME HEALTH CARE,20718,1108743
19539,2009,MARYLAND INSURANCE ADMINISTRATION,MOUNT VERNON CENTRE ASSOCIATES INC,21201,315917750
19540,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,PRESKEYDON PHARMACY,21205,23089323
19541,2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,ANCHOR INC T/A HEALTHWAY PHARMACY,21224,186443895
