Year,Agency Name,Vendor Name,Vendor Zip,Amount
2008,DEPARTMENT OF BUDGET AND MANAGEMENT,STEPHANIE LABBE-WALLACE,3811,50750
2008,DEPARTMENT OF THE ENVIRONMENT,EKTO MANUFAC CORP,4073,74259
2008,MARYLAND STADIUM AUTHORITY,REMSTAR INTERNATIONAL INC,4092,83673.6
2008,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,SPECTRUM ENTERPRISES,4107,364180
2008,MD DEPARTMENT OF AGRICULTURE,IDEXX DISTRIBUTION CORP,30392,3154.2
2008,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,IDEXX DISTRIBUTION CORP,30392,119406
2008,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,MARKET DECISIONS LLC,4101,246208
2008,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,NEW WATERS TOWERS DEVELOPMENT CO LP,4101,1599584
2008,DEPARTMENT OF HUMAN RESOURCES,NEW PRINCESS ANNE TOWN HOUSES LP,21853,3972.7
2008,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,NEW PRINCESS ANNE TOWN HOUSES LP,21853,633764
2008,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,CAPITAL ONCOLOGY HEMATOLOGY,20902,36451.8
2008,DEPARTMENT OF HUMAN RESOURCES,CAPITAL ONCOLOGY HEMATOLOGY,20902,15
2008,MARYLAND STATE DEPARTMENT OF EDUCATION,CAPITAL ONCOLOGY HEMATOLOGY,20902,80
2008,MARYLAND PORT ADMINISTRATION,MEDIA TWO,21204,191939.39
2008,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,MEDIA TWO,19805,2500
2008,DEPT OF BUSINESS & ECONOMIC DEVELOPMENT,MEDIA TWO,21211,522347.49
2008,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,MCKESSON SPECIALTY PHARMACEUTICALS,75373,255727.64
2008,MARYLAND STATE DEPARTMENT OF EDUCATION,CHILDREN OF THE KING LLC EARLY LEARNING CENTER,20707,31438.83
2008,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,NORTH PARK GARDENS,21803,42226.95
2008,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,W. P TAX & ACCOUNTING GROUP,21117,20710
2008,DEPARTMENT OF JUVENILE SERVICES,W. P TAX & ACCOUNTING GROUP,21117,32604
2008,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,CIRCLE OF FRIENDS LLC,20860,1286900.6
2008,MD DEPARTMENT OF AGRICULTURE,ALLSHORE TITLE SERVICES LLC,21201,1973843
2008,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,MICHAEL RANDOLPH MD,21218,29388.27
2008,MARYLAND STATE DEPARTMENT OF EDUCATION,MICHAEL RANDOLPH MD,21218,155
2008,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,RHEUMA ASSOCS OF BALTO LLC,21286,29978.7
2008,DEPARTMENT OF HUMAN RESOURCES,RHEUMA ASSOCS OF BALTO LLC,21286,60
2008,MARYLAND STATE DEPARTMENT OF EDUCATION,RHEUMA ASSOCS OF BALTO LLC,21286,665
2008,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,MARSHYHOPE FAMILY SERVICES LLC,21613,33813.01
2008,DEPARTMENT OF HUMAN RESOURCES,MARSHYHOPE FAMILY SERVICES LLC,21613,706.09
2008,MARYLAND STATE DEPARTMENT OF EDUCATION,MARSHYHOPE FAMILY SERVICES LLC,21613,1465.8
2008,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,STATEWIDE STAFFING INC,21208,65325.75
2008,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,MED CTR ORTHOTICS & PROSTHETICSLLC,20910,39539.88
