Year,Agency Name,Vendor Name,Vendor Zip,Amount
2010,MARYLAND STATE DEPARTMENT OF EDUCATION,ANGELA CROMWELL,21040,25697.16
2010,DEPT OF BUSINESS & ECONOMIC DEVELOPMENT,"KATE CLIFFORD LARSON, PHD",01890,51150.04
2010,DEPARTMENT OF INFORMATION TECHNOLOGY,STEPHANIE LABBE-WALLACE,03811,50000
2010,DEPARTMENT OF GENERAL SERVICES- CAPITAL,CIANBRO CORPORATION,02125,6658388.89
2010,DEPARTMENT OF THE ENVIRONMENT,EKTO MANUFAC CORP,04073,109441
2010,MD DEPARTMENT OF AGRICULTURE,IDEXX DISTRIBUTION CORP,30392,2974.35
2010,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,IDEXX DISTRIBUTION CORP,30392,173790
2010,MARYLAND HIGHER EDUCATION COMMISSION,GOLD BRIDGE PARTNERS INC,04330,622659.43
2010,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,MARKET DECISIONS LLC,04101,285804
2010,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,"SPECTRUM ENTERPRISES, INC",04107,496600
2010,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,NEW WATERS TOWERS DEVELOPMENT CO LP,04101,1543448
2010,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,NEW PRINCESS ANNE TOWN HOUSES LP,21853,496
2010,DEPARTMENT OF HUMAN RESOURCES,NEW PRINCESS ANNE TOWN HOUSES LP,21853,921
2010,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,NEW PRINCESS ANNE TOWN HOUSES LP,21853,604684
2010,HISTORIC ST. MARY'S CITY COMMISSION,MEDIA TWO INC,21211,2720
2010,MARYLAND PORT ADMINISTRATION,MEDIA TWO INC,21211,187168.32
2010,MARYLAND TRANSIT ADMINISTRATION,MEDIA TWO INC,21211,4920
2010,DEPT OF BUSINESS & ECONOMIC DEVELOPMENT,MEDIA TWO INC,21211,372923.82
2010,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,NORTH PARK GARDENS,21803,43519.32
2010,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,CIRCLE OF FRIENDS LLC,20860,1907228.02
2010,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,MICHAEL RANDOLPH MD,21218,35130.81
2010,DEPARTMENT OF HUMAN RESOURCES,MICHAEL RANDOLPH MD,21218,25
2010,MARYLAND STATE DEPARTMENT OF EDUCATION,MICHAEL RANDOLPH MD,21218,153
2010,STATE HIGHWAY ADMIN,LOPEZ TRUCKING,20782,41025
2010,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,RHEUMATOLOGY ASSOCS OF BALT LLC,21286,33864
2010,DEPARTMENT OF HUMAN RESOURCES,RHEUMATOLOGY ASSOCS OF BALT LLC,21286,341.9
2010,MARYLAND STATE DEPARTMENT OF EDUCATION,RHEUMATOLOGY ASSOCS OF BALT LLC,21286,1415
2010,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,MARSHYHOPE FAMILY SERVICES LLC,21613,35743.07
2010,DEPARTMENT OF HUMAN RESOURCES,MARSHYHOPE FAMILY SERVICES LLC,21613,15
2010,MARYLAND STATE DEPARTMENT OF EDUCATION,MARSHYHOPE FAMILY SERVICES LLC,21613,2494.94
2010,UNINSURED EMPLOYERS FUND,MEDICAL CENTERS ORTHOTICS & PROSTHETICS,20910,538.75
2010,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,MEDICAL CENTERS ORTHOTICS & PROSTHETICS,20910,24790.01
2010,MARYLAND STATE DEPARTMENT OF EDUCATION,MEDICAL CENTERS ORTHOTICS & PROSTHETICS,20910,44510.3
2010,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,WOODSIDE GARDENS APARTMENTS,90058,1319666
2010,DEPARTMENT OF HUMAN RESOURCES,MRO CORPORATION,19406,13463.93
2010,MARYLAND STATE DEPARTMENT OF EDUCATION,MRO CORPORATION,19406,113030
2010,MARYLAND STATE DEPARTMENT OF EDUCATION,ONE STEP UP 2 INC.,21742,189457.74
2010,MARYLAND PUBLIC TELEVISION,BRAVO TENORE INC,10710,57000
2010,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,HQM OF BAYSIDE LLC,20653,45418.3
2010,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,FMC OF ANNE ARUNDEL,21264,309278.05
2010,MARYLAND DEPT. OF VETERANS AFFAIRS,H M R OF MARYLAND LLC,29640,10145816.67
2010,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,H M R OF MARYLAND LLC,29640,7207234.41
2010,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,NORTHWEST HEALTH & REHAB CENTER,10286,39508.38
2010,MARYLAND STATE DEPARTMENT OF EDUCATION,NORTHWEST HEALTH & REHAB CENTER,21152,60
2010,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,TAKOMA TOWERS  DBA VICTORY TOWERS,21401,1066392
2010,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,COMMUNITY CARE NURSING SERVICES INC,21234,8983185.36
2010,DEPARTMENT OF HUMAN RESOURCES,COMMUNITY CARE NURSING SERVICES INC,21234,250
2010,STATE HIGHWAY ADMIN,COLLISON CONTRACTING INC,21221,46420.83
2010,DEPARTMENT OF THE ENVIRONMENT,CHESAPEAKE RIVERS ASSOCIATION INC,21401,450000
2010,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,MEDPRO HOSPITALISTS LLP,20718,25691.72
2010,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,TRACY WERTHEIMER DPM LLC,21061,32268.29
2010,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,NATIONAL MENTOR HLTHCARE,21228,191618
2010,DEPARTMENT OF HUMAN RESOURCES,NATIONAL MENTOR HLTHCARE,21228,14654697.83
2010,DEPARTMENT OF JUVENILE SERVICES,NATIONAL MENTOR HLTHCARE,21228,3555824.51
2010,IAC PUBLIC SCHOOL CONSTRUCTION -CAPITAL,AUTUMN CONTRACTING INC,20781,480990
2010,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,PENINSULA ENDOSCOPY CENTER,19713,38657.63
2010,STATE HIGHWAY ADMIN,LICKING CREEK PAVING & HAULING LLC,21711,54895
2010,STATE HIGHWAY ADMIN,PATRICK & TRACY TRUCKING,21754,46728.75
2010,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,CHARING CROSS DIALYSIS,31193,801076.55
2010,STATE HIGHWAY ADMIN,E T RUCKING INC,17349,32887.5
2010,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,HELENA'S HOUSE INC,20774,749176.8
2010,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,RELIABLE MEDICAL,21208,1221339.66
2010,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,ROB N NESS ADULT DAY SERVICES INC,21228,465272.61
2010,MARYLAND STATE DEPARTMENT OF EDUCATION,ROB N NESS ADULT DAY SERVICES INC,21228,33500.28
2010,DEPARTMENT OF HUMAN RESOURCES,"AMR NEUROPSYCHOLOGICAL SERVICES, LLC",21784,333
2010,MARYLAND STATE DEPARTMENT OF EDUCATION,"AMR NEUROPSYCHOLOGICAL SERVICES, LLC",21784,237656.75
2010,MD DEPARTMENT OF AGRICULTURE,CREEKBOUND FARMS LLC,21740,32646.67
2010,MARYLAND STATE DEPARTMENT OF EDUCATION,KID BIZ LLC,20785,175979.78
2010,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,HOPE & JOY HEALTH AND ALLIED,20707,210263.38
2010,UNINSURED EMPLOYERS FUND,DECK PAIN MANAGEMENT LLC,21264,4046.64
2010,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,DECK PAIN MANAGEMENT LLC,21264,51139.4
2010,MARYLAND STATE DEPARTMENT OF EDUCATION,DECK PAIN MANAGEMENT LLC,21045,1211
2010,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,ANGEL LOVING CARE RESIDENTIAL AGENCY,20712,381467.49
2010,STATE HIGHWAY ADMIN,JC'S TRUCKING SERVICES LLC,22079,47072.5
2010,DEPARTMENT OF HUMAN RESOURCES,"DEVINE INTERVENTIONS, INC.",21239,263660.87
2010,STATE HIGHWAY ADMIN,MCCORMICK TAYLOR/PB AMERICAS,21202,177670.45
2010,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,UNIVERSITY SPECIALISTS LLP,21275,292619.64
2010,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,SERVICE CARE PHARMACY,20910,53046.19
2010,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,UPPER CHES CRITICAL CARE ASSOCS LLC,15024,37668.69
2010,MARYLAND STATE DEPARTMENT OF EDUCATION,DIVINITY CHILD DEVELOPMENT CENTER,20721,52565.83
2010,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,BLACKBURN HOUSING II LTD PTN,21157,603471
2010,BOARDS COMMISSIONS & OFFICES,WORCESTER COUNTY'S INITIATIVE TO PRESERVE FAMILIES,21863,60897.56
2010,MARYLAND STATE DEPARTMENT OF EDUCATION,WORCESTER COUNTY'S INITIATIVE TO PRESERVE FAMILIES,21863,949344
2010,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,PHARMACARE AT REISTERSTOWN LLC,21136,76872.21
2010,MARYLAND TRANSIT ADMINISTRATION,UNIVERSAL ROOFING,21228,100995
